"Business Category","Sub Category","Company Name","Address","Contact Number 1","Contact Number 2","Area","City","Pincode","Year Establish","Source Link"
"Air Ticketing Age						","Railway Ticketing Agents						,","Alpha Tour & Travel","House No 3-3-53/3, Kachiguda Station Road, Kachiguda, Hyderabad - 500027, Beside IDBI Bank","+(91)-40-23300712","","Kachiguda","Hyderabad","500027","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Alpha-Tour---Travel-\&lt\;near\&gt\;-Beside-IDBI-Bank-Kachiguda/040PXX40-XX40-141230145454-R3U5_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"Air Ticketin						","Air Ticketing Agents Domestic						,","Tours5.com","17-85, Sri Nagar, Dilsukhnagar, Hyderabad - 500060, Opposite Sai Baba Temple","+(91)-40-64636261","64636262","Dilsukhnagar","Hyderabad","500060","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Tours5-com-\&lt\;near\&gt\;-Opposite-Sai-Baba-Temple-Dilsukhnagar/040PXX40-XX40-130118145642-N7X7_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"Foreign Exchange 						","Railway Ticketing Agents						,","Enkay Tours And Travels","Flat No 1-11-247,3rd Floor,Surya Arcade, Begumpet, Hyderabad - 500016, Opposite Pantaloons","+(91)-40-27760137","27760146","Begumpet","Hyderabad","500016","40","Monday -Sunday ","http://www.justdial.com/Hyderabad/Enkay-Tours-And-Travels-\&lt\;near\&gt\;-Opposite-Pantaloons-Begumpet/040PXX40-XX40-091006122336-E1P6_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"Air Ticketin						","Air Ticketing Agents Domestic						,","Travel Lounge","Shop No 11-6-664, Red Hills, Nampally, Hyderabad - 500001, Court Road","+(91)-40-66666686","64599916","Nampally","Hyderabad","500001","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Travel-Lounge-\&lt\;near\&gt\;-Court-Road-Nampally/040PXX40-XX40-131118143919-A7E4_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"Visa As						","Air Ticketing Agents International						,","Srz Holidays India Pvt Ltd","4-1-898,Oasis plaza, Beside Abids function hall, Abids, Hyderabad - 500001, Tilak road","+(91)-40-66668100","24768100","Abids","Hyderabad","500001","2011","Monday -Sunday ","http://www.justdial.com/Hyderabad/Srz-Holidays-India-Pvt-Ltd-\&lt\;near\&gt\;-Tilak-road-Abids/040PXX40-XX40-110128185601-N5Q3_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"Air Ticketin						","Air Ticketing Agents Domestic						,","Columbus Vacations Pvt Ltd","Shop No 3-6-355/4/1, 1st Floor, Papa Reddy Plaza, Basheer Bagh, Hyderabad - 500029, Beside Shanbagh ...","+(91)-40-64601991","","Basheer Bagh","Hyderabad","500029","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Columbus-Vacations-Pvt-Ltd-\&lt\;near\&gt\;-Beside-Shanbagh-Hotel-Basheer-Bagh/040PXX40-XX40-140627133209-G2I1_BZDET?xid=SHlkZXJhYmFkIEFpciBUaWNrZXRpbmcgQWdlbnRzIEludGVybmF0aW9uYWw="
"Pla						","Placement Services For BPO (Candidate)						,","Hucon Solutions India Pvt Ltd","2E, Second Floor, Surya Towers, S P Road, Secunderabad, Hyderabad - 500003, Stanza Building","+(91)-40-33921662","","Secunderabad","Hyderabad","500003","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Hucon-Solutions-India-Pvt-Ltd-\&lt\;near\&gt\;-Stanza-Building-Secunderabad/040PXX40-XX40-141129235718-D5S6_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Pla						","Placement Services For BPO (Candidate)						,","Unic Sol","PL NO 60, NAGARJUNA HILLS, Panjagutta, Hyderabad - 500082, NEAR Subway","+(91)-40-33080378","","Panjagutta","Hyderabad","500082","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Unic-Sol-\&lt\;near\&gt\;-NEAR-Subway-Panjagutta/040PXX40-XX40-151124132339-Q5W5_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Placement S						","Placement Services (Candidate)						,","Futureturn Solutions","Hopuse No:8-3-191/614/A9, Model House - 9, Vengal Rao Nagar, Ameerpet, Hyderabad - 500016, Opposit t...","+(91)-40-33700206","","'dtpg');
											openDiv('hui')","","500016","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/Futureturn-Solutions-\&lt\;near\&gt\;-Opposit-to-Vishwabharathi-School-Ameerpet/040PXX40-XX40-150811151447-E8E4_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Placement S						","Placement Services (Candidate)						,","Linkwel Placements","Flat No 105,Ist Floor,Pushpanjali Complex, R S Brothers Lane, Koti, Hyderabad - 500095, Above Raymon...","+(91)-40-33923427","","Koti","Hyderabad","500095","2007","Monday -Sunday ","http://www.justdial.com/Hyderabad/Linkwel-Placements-\&lt\;near\&gt\;-Above-Raymonds-Showroom--Opposite-Osmania-Medical-College-Koti/040PZE02377_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"","","Prohunt","H. no. 2-72/1, Flat no. 107, 3rd floor, Ayyappa society road, Hyderabad - 500081, Near SBI Bank","+(91)-40-40120011","","'dtpg');
											openDiv('hui')","","500081","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Prohunt-\&lt\;near\&gt\;-Near-SBI-Bank-/040PXX40-XX40-160212104600-U8J6_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Placement S						","Placement Services (Candidate)						,","Vesan Oriental Services","House No.2-2-1159/1/A, Tilak Nagar, Nallakunta, Hyderabad - 500044, Near Bridge","+(91)-40-33014168","","Nallakunta","Hyderabad","500044","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Vesan-Oriental-Services-\&lt\;near\&gt\;-Near-Bridge-Nallakunta/040PXX40-XX40-130211201325-X1H5_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Placement S						","Placement Services (Candidate)						,","Akshara Consultancy","9-3-320, Regimental Bazar, Secunderabad, Hyderabad - 500003, Opposite Lane Of Ganesh Temple","+(91)-40-65442016","","'dtpg');
											openDiv('hui')","","500003","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/Akshara-Consultancy-\&lt\;near\&gt\;-Opposite-Lane-Of-Ganesh-Temple-Secunderabad/040PXX40-XX40-160128134810-I3Z8_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Placement S						","Placement Services (Candidate)						,","Beulah Job Placement Services","9-3-109, Regimental Bazar, Secunderabad, Hyderabad - 500003, Opp Railway Station","+(91)-40-33066479","","'dtpg');
											openDiv('hui')","","500003","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Beulah-Job-Placement-Services-\&lt\;near\&gt\;-Opp-Railway-Station-Secunderabad/040PXX40-XX40-160205145053-U3R4_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Pla						","Placement Services For BPO (Candidate)						,","Pragathi Manpower Consultancy","D No 2-23/2, 3rd Floor, Hydernagar Main Road, Kukatpally, Hyderabad - 500072, Beside Charmas Showroo...","+(91)-40-33700262","","'dtpg');
											openDiv('hui')","","500072","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Pragathi-Manpower-Consultancy-\&lt\;near\&gt\;-Beside-Charmas-Showroom-Opposite-To-Shri-Bramarambha-Cinema-Theatre-Kukatpally/040PXX40-XX40-150612154839-S3A4_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"Overseas Pl						","Placement Services (Candidate)						,","G Y Consultancy Services","Plot No 5/2, Ground Floor, Shiva Arun Colony, West Maredpally, West Marredpally, Hyderabad - 500026,...","+(91)-40-42223189","","West Marredpally","Hyderabad","500026","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/G-Y-Consultancy-Services-\&lt\;near\&gt\;-Adjacent-Amar-Bakery-Lane-West-Marredpally/040PXX40-XX40-150610131609-C5V9_BZDET?xid=SHlkZXJhYmFkIFBsYWNlbWVudCBTZXJ2aWNlcyBGb3IgQlBP"
"24 Hours Blood Banks						","Blood Banks						,","Life Voluntary Blood Bank","MIG 323 , 1st Floor, Road No :4 , Remedy Hospital Lane, Kphb Colony, Hyderabad - 500072, Above Syndi...","+(91)-40-30751341","","Kphb Colony","Hyderabad","500072","2011","Monday -Sunday ","http://www.justdial.com/Hyderabad/Life-Voluntary-Blood-Bank-\&lt\;near\&gt\;-Above-Syndicate-Bank---Opposite--Aditya-Diagnostics-Kphb-Colony/040PXX40-XX40-120921135252-M8Y5_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"24 Hours Blood Banks						","Blood Banks						,","Sri Balaji Blood Bank","Door No 16-8-923, Nalgonda X Roads, Malakpet, Hyderabad - 500036, SBI Bank Cellar, Chaderghat","+(91)-40-33086228","","Malakpet","Hyderabad","500036","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sri-Balaji-Blood-Bank-\&lt\;near\&gt\;-SBI-Bank-Cellar--Chaderghat-Malakpet/040PXX40-XX40-110904204215-R7F4_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"Blood Banks						","24 Hours Blood Banks						,","St Theresas Blood Bank","St Theresas Hospital, 1st Floor, Sanat Nagar Main Road, Erragadda, Hyderabad - 500018, Opposite Erra...","+(91)-40-33081199","","Erragadda","Hyderabad","500018","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/St-Theresas-Blood-Bank-\&lt\;near\&gt\;-Opposite-Erragadda-Rythu-Bazar--Beside-Church-Erragadda/040PXX40-XX40-101014185917-P4A9_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"Blood Banks						","24 Hours Blood Banks						,","Challa Hospital Blood Bank","House No 7-1-71/A/A,1st Floor, Dharam Karam Road, Ameerpet, Hyderabad - 500016, Beside Food World","+(91)-40-33928437","","'dtpg');
											openDiv('hui')","","500016","2009","Monday -Sunday ","http://www.justdial.com/Hyderabad/Challa-Hospital-Blood-Bank-\&lt\;near\&gt\;-Beside-Food-World-Ameerpet/040PXX40-XX40-120912121059-H3U8_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"24 Hours Blood Banks						","Blood Banks						,","Vivakananda Social Service Blood Bank","9-1-127, Sanjeet Theatre Road, Sarojini Devi Road, Hyderabad - 500003","+(91)-40-33924418","","Sarojini Devi Road","Hyderabad","500003","2006","Monday -Sunday ","http://www.justdial.com/Hyderabad/Vivakananda-Social-Service-Blood-Bank-\&lt\;near\&gt\;-Sarojini-Devi-Road/040P1217480609G5Y6N9_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"24 Hours Blood Banks						","Blood Banks						,","RCT Blood Bank","Door No 18/76/1, V V Nagar Road , Kamala Nagar Road No 3, Chaitanyapuri, Dilsukh Nagar, Hyderabad - ...","+(91)-40-33703542","","Dilsukh Nagar","Hyderabad","500060","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/RCT-Blood-Bank-\&lt\;near\&gt\;-Opposite-Swagath-Hotel--Indian-Bank-Lane-Dilsukh-Nagar/040PXX40-XX40-150907134430-B6I3_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"24 Hours Blood Banks						","Blood Banks						,","Chiranjeevi Eye & Blood Bank Research & Development Centre","Door No 8-2-293/82/A/C E B B, Road No 1, Jubilee Hills, Hyderabad - 500033, Near Jubilee Hills Check...","+(91)-40-23554849","23559292","Jubilee Hills","Hyderabad","500033","1998","Monday -Sunday ","http://www.justdial.com/Hyderabad/Chiranjeevi-Eye---Blood-Bank-Research---Development-Centre-\&lt\;near\&gt\;-Near-Jubilee-Hills-Check-Post-Jubilee-Hills/040PXX40-XX40-000499925906-C2T2_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"Blood Banks						","Hospitals						,","Osmania General Hospital","Door No 15-5-104, Afzal Gunj, Hyderabad - 500012, Near Afzalgunj Bus Stop","+(91)-40-24600146","","Afzal Gunj","Hyderabad","500012","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Osmania-General-Hospital-\&lt\;near\&gt\;-Near-Afzalgunj-Bus-Stop-Afzal-Gunj/040PXX40-XX40-000152877854-Y4G8_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"24 Hours Blood Banks						","Blood Banks						,","Red Cross Blood Bank","Door No 1-9-310, Road No 6, Vidya Nagar, Hyderabad - 500044, Opposite To Achyutha Reddy Complex","+(91)-40-27633087","27627973","Vidya Nagar","Hyderabad","500044","2002","Monday -Sunday ","http://www.justdial.com/Hyderabad/Red-Cross-Blood-Bank-\&lt\;near\&gt\;-Opposite-To-Achyutha-Reddy-Complex-Vidya-Nagar/040P7315985_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
"24 Hours Blood Banks						","Blood Banks						,","Ntr Blood Bank","Road No 2, Banjara Hills, Hyderabad - 500034, Ntr Trust Bhavan, Backside Of Tdp Office","+(91)-40-30799999","30145800","Banjara Hills","Hyderabad","500034","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Ntr-Blood-Bank-\&lt\;near\&gt\;-Ntr-Trust-Bhavan--Backside-Of-Tdp-Office-Banjara-Hills/040P5492523_BZDET?xid=SHlkZXJhYmFkIEJsb29kIEJhbmtz"
